displayName,uid,text,createdAt,Arg Category,Position,ConvoNum
JPAG9k,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"Hi, how are you?",2022-02-11T18:37:41.033Z,Opening remarks,Persuader,1
Jp2xrD,Jp2xrDbuJZXwFLMmwJpZVEtQ0kt1,can't complain. how are you?,2022-02-11T18:37:53.654Z,Opening remarks user response,Persuadee,1
JPAG9k,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,Not bad either! Have you heard of online learning before?,2022-02-11T18:38:01.824Z,Experience-related inquiry,Persuader,1
Jp2xrD,Jp2xrDbuJZXwFLMmwJpZVEtQ0kt1,yes and I've gone through it both in high school and college,2022-02-11T18:38:17.966Z,Experience-related user response,Persuadee,1
JPAG9k,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,Interesting! It sounds like a pretty good idea considering now you have a lot of old lectures and content to look through,2022-02-11T18:39:02.761Z,Logical appeal,Persuader,1
Jp2xrD,Jp2xrDbuJZXwFLMmwJpZVEtQ0kt1,"it is a helpful study tool, but I tend to not focus on the lectures if I'm just watching a video. I get distracted by outside factors that I wouldn't have in the classroom setting.",2022-02-11T18:40:04.151Z,Logical appeal user response,Persuadee,1
JPAG9k,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"I see, I believe that online lectures can be helpful when you have missed a day of school and need to make things up",2022-02-11T18:41:21.196Z,Logical appeal,Persuader,1
Jp2xrD,Jp2xrDbuJZXwFLMmwJpZVEtQ0kt1,"True,but I think having a relationship with your professor is important in learning and with online learning it takes away from that relationship. Also, the motivation to make up the lectures is so low if there is no penalty for being behind/missing things",2022-02-11T18:43:05.102Z,Logical appeal user response,Persuadee,1
JPAG9k,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"That sounds logical indeed, it's hard to be motivated when there's no people around you. New point: Would you agree that kids who have physical disabilities would have a better time learning without having to deal with the physical impediments of in-person learning?",2022-02-11T18:43:48.073Z,Thought-provoking inquiry,Persuader,1
Jp2xrD,Jp2xrDbuJZXwFLMmwJpZVEtQ0kt1,I think that it would help them somewhat but once done with schooling there could be limited options of work that is online depending on career path. If they get practice with the difficulties of every day things in school then it would better prepare them once they leave.,2022-02-11T18:45:16.326Z,Thought-provoking user response,Persuadee,1
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,"Hi, how are you? I am pretty sure you are aware of online learning. I believe it has had numerous advantages in the past few months by giving access to multitude of students across different cultures and countries.",2022-03-31T21:04:04.047Z,Opening remarks,Persuader,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,Hi! I definitely have heard of some people who benefitted a lot from the online platform.,2022-03-31T21:05:41.088Z,Opening remarks user response,Persuadee,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"But personally I haven't had the best experience from online learning. I 100% prefer having classes online, even though that means I have to wake up and get dressed for them.",2022-03-31T21:05:41.088Z,Personal story user response,Persuadee,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,But haven't you ever had a time where you had to miss class for a medical emergency or any other family emergencies that required you to make up the material in order to complete assignments? Online learning eliminates any obstacles that come with uncertainties that arise.,2022-03-31T21:07:42.483Z,Personal-related inquiry,Persuader,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,I had a medical instance while my school was fully online and the fact that my classes were online did not change my learning experience. I still had to miss things because I was too physcially unwell to complete/attend them. So not all of the obstacles are ctually eliminated.,2022-03-31T21:09:42.373Z,Personal story user response,Persuadee,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,"I would say that is primarily dependent on the professor and whether he would accept the assignment. Nonetheless, that doesn't refute the point that you could access the material at any point of time for learning or review.  ",2022-03-31T21:12:27.997Z,Logical appeal,Persuader,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,I can speak from personal experience when I had to leave school for sometime and yet I was still able to expand my learning through various professional certification programs,2022-03-31T21:12:27.997Z,Personal story,Persuader,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"That for sure is a great experience for you! I just think that overall, learning is better in-person. I missed out on actual lab experience when everything was online and so trying to apply that ""knowledge"" in my classes and work now is very frustrating because I couldn't really learn it. There are also many people I know who appeared to have ""learned"" more based on their grades, but that is due to the probability and ease of prohibited assitance being available. It just doesn't help in the long run.",2022-03-31T21:15:27.558Z,Personal story user response,Persuadee,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,You know you make a good point! Have you thought about other countries that would still love to have access to quality education but don't have enough money to relocate to the U.S.? ,2022-03-31T21:22:26.490Z,Emotional appeal,Persuader,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,"In this age of technology, those students are able to get access to educational content for a cheaper if not free payment. Even though most people appear to have ""learned"" on the basis of their grades, I believe that is because people weren't used to this format of learning yet. There are a couple of studies done on middle school students that have showed better comprehension in their learnings due to the various forms of game related content that online learning provided.",2022-03-31T21:22:26.490Z,Logical appeal,Persuader,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"I agree that providing this learning to people overseas could be better than no learning at all. But if the argument is in person versus online, I still stand by believing in-person provides a richer experience for the student. And as for the middle school relation for classes and games, I would say that if the learning is in game form, it may show an increase in correct answers but may not be sored in the long-term memory sector of the brain since it's presented as quick info. But anyway, it was great chatting with you. I hope to continue this conversation or another one later on with you!",2022-03-31T21:27:47.925Z,Logical appeal user response,Persuadee,2
NZK0tW,NZK0tWmwVLO4dzsR12XBBQKkWCm1,"I enjoyed this debate, let's agree to disagree. It was great talking with you though!",2022-03-31T21:29:14.270Z,Closing remarks,Persuader,2
5NiuUN,5NiuUNkeudeJPTuqyym7FhVB2Hk2,"Hello, I hope your day is going well!",2022-03-31T21:44:27.937Z,Opening remarks,Persuader,3
